dish,dose,genotype,phase,n_obs,pct_center,pct_middle,pct_outer,count_center,count_middle,count_outer
2026-06-01_10.59.09_ROI4_BR_W1118,50:65,W1118,recovery,87584,7.724013518450859,18.496529046401168,73.77945743514798,6765,16200,64619
2026-06-03_08.59.38_ROI1_TL_dSERT,50:65,dSERT,baseline,80772,14.422076957361462,46.305650472936165,39.27227256970237,11649,37402,31721
2026-06-03_08.59.38_ROI1_TL_dSERT,50:65,dSERT,early EtOH,80337,10.937675043877665,21.126006696789773,67.93631825933257,8787,16972,54578
2026-06-03_08.59.38_ROI1_TL_dSERT,50:65,dSERT,late EtOH,81380,10.958466453674122,22.89874662079135,66.14278692553452,8918,18635,53827
2026-06-03_08.59.38_ROI1_TL_dSERT,50:65,dSERT,recovery,79029,5.768768426780043,17.889635450277748,76.3415961229422,4559,14138,60332
2026-06-03_08.59.38_ROI2_BL_W1118,50:65,W1118,baseline,80738,9.097327156976888,25.026629344298847,65.87604349872427,7345,20206,53187
2026-06-03_08.59.38_ROI2_BL_W1118,50:65,W1118,early EtOH,80386,6.246112507152987,16.655885353170948,77.09800213967605,5021,13389,61976
2026-06-03_08.59.38_ROI2_BL_W1118,50:65,W1118,late EtOH,80355,6.823470848111506,14.584033352000498,78.592495799888,5483,11719,63153
2026-06-03_08.59.38_ROI2_BL_W1118,50:65,W1118,recovery,77587,6.118293013004756,10.129274234085607,83.75243275290963,4747,7859,64981
2026-06-03_08.59.38_ROI3_TR_dSERT,50:65,dSERT,baseline,88909,12.780483415627215,36.55422960555174,50.665286978821044,11363,32500,45046
2026-06-03_08.59.38_ROI3_TR_dSERT,50:65,dSERT,early EtOH,89042,9.824577165831855,38.43916354080097,51.73625929336717,8748,34227,46067
2026-06-03_08.59.38_ROI3_TR_dSERT,50:65,dSERT,late EtOH,88977,9.830630387628265,36.685885116378394,53.48348449599335,8747,32642,47588
2026-06-03_08.59.38_ROI3_TR_dSERT,50:65,dSERT,recovery,86973,10.804502546767388,35.30750922700148,53.88798822623113,9397,30708,46868
2026-06-03_08.59.38_ROI4_BR_W1118,50:65,W1118,baseline,89843,19.625346437674608,39.23511013657158,41.139543425753814,17632,35250,36961
2026-06-03_08.59.38_ROI4_BR_W1118,50:65,W1118,early EtOH,89121,11.996050313618563,19.96499141616454,68.0389582702169,10691,17793,60637
2026-06-03_08.59.38_ROI4_BR_W1118,50:65,W1118,late EtOH,89744,13.097254412551257,15.735870921732928,71.16687466571582,11754,14122,63868
2026-06-03_08.59.38_ROI4_BR_W1118,50:65,W1118,recovery,87915,10.315645794233067,10.214411647614172,79.46994255815277,9069,8980,69866
2026-06-03_09.30.50_ROI1_TL_dSERT,50:65,dSERT,baseline,80187,10.579021537156896,18.660131941586542,70.76084652125655,8483,14963,56741
2026-06-03_09.30.50_ROI1_TL_dSERT,50:65,dSERT,early EtOH,80287,4.704373061641362,13.307260204018084,81.98836673434056,3777,10684,65826
2026-06-03_09.30.50_ROI1_TL_dSERT,50:65,dSERT,late EtOH,80334,4.285856548908308,11.892847362262554,83.82129608882913,3443,9554,67337
2026-06-03_09.30.50_ROI1_TL_dSERT,50:65,dSERT,recovery,78216,6.545975248031094,12.687941086222768,80.76608366574614,5120,9924,63172
2026-06-03_09.30.50_ROI2_BL_W1118,50:65,W1118,baseline,77238,9.917398171884306,49.374660141381185,40.707941686734515,7660,38136,31442
2026-06-03_09.30.50_ROI2_BL_W1118,50:65,W1118,early EtOH,80308,9.149773372515813,24.000099616476565,66.85012701100761,7348,19274,53686
2026-06-03_09.30.50_ROI2_BL_W1118,50:65,W1118,late EtOH,80178,14.70228741051161,18.50881788021652,66.78889470927187,11788,14840,53550
2026-06-03_09.30.50_ROI2_BL_W1118,50:65,W1118,recovery,78975,6.691991136435581,23.52769863880975,69.78031022475467,5285,18581,55109
2026-06-03_09.30.50_ROI3_TR_W1118,50:65,W1118,baseline,88575,4.645780412080159,48.27660174992944,47.0776178379904,4115,42761,41699
2026-06-03_09.30.50_ROI3_TR_W1118,50:65,W1118,early EtOH,89466,14.31381753962399,19.79858270180851,65.8875997585675,12806,17713,58947
